"",Variable,Group,Scorecard Points,WoE,DR,Percentage of population,Coefficient
0,LTV_time,"(-inf, -0.81)",0.000,-1.065,0.495,0.091,-0.600
1,LTV_time,"[-0.81, -0.29)",22.000,-0.568,0.373,0.330,-0.600
2,LTV_time,"[-0.29, 0.23)",45.000,-0.022,0.257,0.153,-0.600
3,LTV_time,"[0.23, 0.81)",67.000,0.482,0.173,0.085,-0.600
4,LTV_time,"[0.81, 1.31)",96.000,1.156,0.096,0.252,-0.600
5,LTV_time,"[1.31, inf)",111.000,1.502,0.070,0.089,-0.600
7,LTV_time,Missing,46.000,0.000,0.000,0.000,-0.600
0,hpi_orig_time,"(-inf, -0.58)",0.000,-0.677,0.399,0.326,-0.015
1,hpi_orig_time,"[-0.58, -0.21)",0.000,-0.498,0.357,0.119,-0.015
2,hpi_orig_time,"[-0.21, 0.42)",1.000,0.092,0.236,0.146,-0.015
3,hpi_orig_time,"[0.42, 0.75)",1.000,0.693,0.144,0.103,-0.015
4,hpi_orig_time,"[0.75, 0.97)",2.000,0.810,0.131,0.071,-0.015
5,hpi_orig_time,"[0.97, inf)",2.000,1.226,0.090,0.235,-0.015
7,hpi_orig_time,Missing,1.000,0.000,0.000,0.000,-0.015
0,gdp_time,"(-inf, -0.64)",0.000,-0.948,0.466,0.062,-0.435
1,gdp_time,"[-0.64, -0.31)",19.000,-0.332,0.320,0.110,-0.435
2,gdp_time,"[-0.31, -0.02)",21.000,-0.274,0.307,0.475,-0.435
3,gdp_time,"[-0.02, 0.59)",37.000,0.218,0.214,0.112,-0.435
4,gdp_time,"[0.59, 1.28)",61.000,0.986,0.112,0.070,-0.435
5,gdp_time,"[1.28, inf)",81.000,1.626,0.062,0.172,-0.435
7,gdp_time,Missing,30.000,0.000,0.000,0.000,-0.435
0,uer_time,"(-inf, -0.52)",0.000,-0.743,0.415,0.110,-0.319
1,uer_time,"[-0.52, -0.26)",10.000,-0.302,0.314,0.096,-0.319
2,uer_time,"[-0.26, 0.06)",12.000,-0.222,0.297,0.470,-0.319
3,uer_time,"[0.06, 0.48)",25.000,0.348,0.192,0.057,-0.319
4,uer_time,"[0.48, 1.17)",32.000,0.636,0.152,0.118,-0.319
5,uer_time,"[1.17, inf)",57.000,1.730,0.056,0.149,-0.319
7,uer_time,Missing,17.000,0.000,0.000,0.000,-0.319
0,Interest_Rate_orig_time,"(-inf, -0.41)",0.000,-0.490,0.355,0.228,-0.499
1,Interest_Rate_orig_time,"[-0.41, -0.20)",6.000,-0.327,0.319,0.167,-0.499
2,Interest_Rate_orig_time,"[-0.20, 0.03)",14.000,-0.087,0.269,0.236,-0.499
3,Interest_Rate_orig_time,"[0.03, 0.34)",24.000,0.169,0.222,0.090,-0.499
4,Interest_Rate_orig_time,"[0.34, 0.83)",36.000,0.521,0.167,0.101,-0.499
5,Interest_Rate_orig_time,"[0.83, inf)",57.000,1.103,0.101,0.179,-0.499
7,Interest_Rate_orig_time,Missing,18.000,0.000,0.000,0.000,-0.499
0,balance_paid_perc,"(-inf, -0.71)",0.000,-1.109,0.506,0.051,-0.564
1,balance_paid_perc,"[-0.71, -0.27)",32.000,-0.329,0.319,0.356,-0.564
2,balance_paid_perc,"[-0.27, 0.07)",36.000,-0.219,0.296,0.071,-0.564
3,balance_paid_perc,"[0.07, 0.42)",60.000,0.365,0.190,0.377,-0.564
4,balance_paid_perc,"[0.42, 0.85)",65.000,0.483,0.172,0.095,-0.564
5,balance_paid_perc,"[0.85, inf)",98.000,1.297,0.084,0.051,-0.564
7,balance_paid_perc,Missing,45.000,0.000,0.000,0.000,-0.564
0,FICO_orig_time,"(-inf, -0.23)",0.000,-0.294,0.312,0.380,-0.811
1,FICO_orig_time,"[-0.23, -0.06)",8.000,-0.152,0.282,0.172,-0.811
2,FICO_orig_time,"[-0.06, 0.20)",20.000,0.047,0.244,0.174,-0.811
3,FICO_orig_time,"[0.20, 0.56)",36.000,0.314,0.198,0.134,-0.811
4,FICO_orig_time,"[0.56, 0.92)",66.000,0.833,0.128,0.054,-0.811
5,FICO_orig_time,"[0.92, inf)",74.000,0.980,0.112,0.087,-0.811
7,FICO_orig_time,Missing,17.000,0.000,0.000,0.000,-0.811
